T, Cp, H, S
34500, 139.101311281, 1287104.82119, 279.360247129
34600, 140.446752078, 1301082.41149, 279.764807696
34700, 141.769227257, 1315193.40607, 280.172050771
34800, 143.067728255, 1329435.45777, 280.581893373
34900, 144.341267877, 1343806.11965, 280.994250368
35000, 145.588882013, 1358302.84714, 281.409034563
35100, 146.809631304, 1372923.00052, 281.826156797
35200, 148.002602761, 1387663.84744, 282.245526031
35300, 149.166911334, 1402522.56561, 282.667049452
35400, 150.30170141, 1417496.24572, 283.090632574
35500, 151.40614826, 1432581.89442, 283.516179337
35600, 152.479459405, 1447776.43748, 283.943592218
35700, 153.520875919, 1463076.72311, 284.372772339
35800, 154.529673647, 1478479.52533, 284.803619576
35900, 155.505164346, 1493981.54756, 285.236032676
36000, 156.446696746, 1509579.42622, 285.669909362
36100, 157.353657515, 1525269.73448, 286.10514646
36200, 158.225472146, 1541048.98614, 286.541640004
36300, 159.061605739, 1556913.6395, 286.979285361
36400, 159.861563707, 1572860.10139, 287.417977345
36500, 160.624892368, 1588884.73121, 287.857610333
36600, 161.351179456, 1604983.84509, 288.298078387
36700, 162.040054528, 1621153.71999, 288.739275365
36800, 162.691189275, 1637390.59794, 289.181095044
36900, 163.304297738, 1653690.69026, 289.62343123
37000, 163.87913642, 1670050.18178, 290.066177876
37100, 164.415504318, 1686465.23513, 290.509229192
37200, 164.913242837, 1702931.99495, 290.95247976
37300, 165.372235634, 1719446.59213, 291.395824641
37400, 165.792408352, 1736005.14803, 291.839159485
37500, 166.173728276, 1752603.77866, 292.282380633
37600, 166.516203896, 1769238.59883, 292.725385224
37700, 166.819884387, 1785905.72623, 293.168071293
37800, 167.084859009, 1802601.28547, 293.610337866
37900, 167.311256423, 1819321.41208, 294.052085062
38000, 167.499243943, 1836062.25638, 294.493214175
38100, 167.649026702, 1852819.98733, 294.933627771
38200, 167.760846764, 1869590.79626, 295.373229765
38300, 167.834982164, 1886370.90049, 295.811925509
38400, 167.871745893, 1903156.54693, 296.249621862
38500, 167.871484822, 1919944.01547, 296.686227272
38600, 167.834578585, 1936729.62235, 297.12165184
38700, 167.761438405, 1953509.72336, 297.555807388
38800, 167.652505886, 1970280.71693, 297.988607523
38900, 167.508251759, 1987039.04712, 298.419967691
39000, 167.329174608, 2003781.20648, 298.849805236
