T, Cp, H, S
45600, 22.5394155879, 2295722.15451, 328.77330838
45700, 22.5203511629, 2297975.14056, 328.82266188
45800, 22.5015595351, 2300226.23384, 328.871866132
45900, 22.483035967, 2302475.4614, 328.920922376
46000, 22.464775817, 2304722.84981, 328.969831835
46100, 22.4467745367, 2306968.42519, 329.018595713
46200, 22.4290276686, 2309212.2132, 329.067215197
46300, 22.4115308446, 2311454.23906, 329.115691458
46400, 22.3942797837, 2313694.52756, 329.164025647
46500, 22.37727029, 2315933.10307, 329.212218902
46600, 22.3604982507, 2318169.98953, 329.260272342
46700, 22.3439596347, 2320405.2105, 329.308187071
46800, 22.3276504902, 2322638.78911, 329.355964178
46900, 22.3115669432, 2324870.74812, 329.403604736
47000, 22.295705196, 2327101.10989, 329.451109803
47100, 22.2800615249, 2329329.89642, 329.498480422
47200, 22.2646322793, 2331557.12934, 329.545717623
47300, 22.2494138794, 2333782.82991, 329.592822421
47400, 22.2344028153, 2336007.01903, 329.639795815
47500, 22.2195956449, 2338229.71727, 329.686638793
47600, 22.2049889927, 2340450.94484, 329.733352329
47700, 22.1905795482, 2342670.72164, 329.779937384
47800, 22.1763640648, 2344889.06722, 329.826394905
47900, 22.162339358, 2347106.00081, 329.872725828
48000, 22.1485023042, 2349321.54134, 329.918931075
48100, 22.1348498395, 2351535.70743, 329.965011556
48200, 22.1213789585, 2353748.51736, 330.01096817
48300, 22.1080867125, 2355959.98917, 330.056801803
48400, 22.0949702088, 2358170.14056, 330.102513332
48500, 22.0820266096, 2360378.98898, 330.148103619
48600, 22.0692531301, 2362586.55156, 330.193573518
48700, 22.0566470383, 2364792.84518, 330.23892387
48800, 22.044205653, 2366997.88646, 330.284155506
48900, 22.0319263435, 2369201.69172, 330.329269247
49000, 22.019806528, 2371404.27704, 330.374265902
49100, 22.0078436727, 2373605.65825, 330.419146273
49200, 21.9960352909, 2375805.85092, 330.463911149
49300, 21.9843789418, 2378004.87038, 330.508561309
49400, 21.9728722299, 2380202.7317, 330.553097525
49500, 21.9615128036, 2382399.44973, 330.597520558
49600, 21.9502983545, 2384595.03909, 330.641831159
49700, 21.9392266168, 2386789.51416, 330.686030072
49800, 21.9282953657, 2388982.8891, 330.730118029
49900, 21.9175024172, 2391175.17785, 330.774095755
50000, 21.906845627, 2393366.39412, 330.817963967
